GOOGL,AAPL,YHOO
783.789978,117.339996,33.709999
762.849976,118.300003,33.810001
771.969971,117.809998,32.939999
769.26001,118.029999,33.16
769.630005,118.879997,32.959999
776.700012,117.75,33.360001
777,119.300003,33.110001
759.940002,118.779999,32.630001
760.01001,117.290001,32.98
745.97998,113.690002,32.860001
750.419983,114.18,32.950001
740.070007,112.339996,32.189999
756.530029,115.720001,33.23
765.25,116.110001,33.380001
758.26001,116.769997,33.990002
754.77002,120.57,33.68
761.599976,121.059998,34.200001
760.669983,120.919998,35.119999
755.309998,121.480003,35.07
748.820007,122.047573,34.720001
747.73999,120.663499,35.27
737.390015,118.990659,35.619999
744.849976,120.016268,35.049999
736.919983,118.761636,35.189999
732.820007,114.06176,34.299999
731.119995,114.788644,33.400002
719.330017,118.572451,33.169998
681.140015,115.007708,31.67
671.799988,113.275126,31.120001
680,113.285078,32.830002
699.950012,111.25378,33.5
695.320007,110.566719,33.369999
693.02002,111.383223,33.48
680.409973,109.740254,32.09
683.169983,111.313522,32.34
676.429993,111.124329,32.860001
671.23999,111.642117,32.52
667,109.033282,32.369999
670,110.307825,31.870001
671.640015,110.835564,30.959999
671.679993,110.307825,30.85
656.98999,109.909528,30.709999
642,109.112942,28.91
638.369995,109.829875,28.91
622.609985,108.595155,28.26
624.25,111.960753,27.6
640.150024,114.221074,29.129999
654.909973,114.509839,29.34
653.289978,113.832737,29.74
653.200012,112.91666,30.4
666.97998,114.718943,31.17
660.919983,112.966443,30.74
671.669983,113.434441,30.93
665.52002,115.913833,31.4
665.070007,115.784382,31.040001
652.469971,114.818515,30.32
655.299988,113.723205,31.43
651.080017,112.090196,31.15
643.409973,109.680513,31.52
643.880005,111.831302,30.9
628.960022,108.804259,31.58
637.049988,109.899576,32.540001
644.909973,111.861173,31.77
629.559998,107.26087,31.6
647.820007,112.279389,32.240002
659.690002,112.807129,33.139999
667.960022,112.438703,33.689999
659.73999,109.222474,32.52
612.469971,103.29783,31.74
618.109985,102.680478,31.309999
644.030029,105.309225,32.93
679.47998,112.169857,34.099998
694.039978,114.519799,35.189999
688.72998,116.003446,35.689999
694.109985,116.660636,36.099998
689.369995,115.465746,36.240002
686.51001,114.659201,35.93
691.469971,114.748814,34.490002
690.299988,113.006273,36.029999
663.140015,119.209722,37.150002
664.390015,115.027619,36.669998
670.150024,114.639282,36.459999
673.289978,114.390352,37.25
661.280029,113.636999,37.119999
664.719971,117.403756,36.689999
657.5,120.238734,36.669998
664.559998,121.299372,37.419998
661.429993,121.913943,37.669998
659.659973,122.30053,37.720001
658.27002,121.695866,37.84
654.77002,123.410734,38.849998
674.72998,124.064963,39.209999
695.099976,124.124435,39.240002
695.349976,129.606052,39.73
692.840027,130.91451,39.540001
699.619995,128.485933,39.68
601.780029,127.385644,38.91
583.960022,125.710435,38.380001
584.179993,124.511023,38.630001
571.72998,124.560588,38.759998
556.109985,122.201406,37.919998
544.650024,119.019492,37.610001
541.700012,121.497619,37.23
550.030029,124.590325,38.23
545.619995,124.89761,38.610001
547.340027,125.333763,39.380001
543.299988,125.492359,39.330002
540.039978,124.332597,39.290001
541.25,123.44047,38.91
553.059998,125.641048,40.060001
557.950012,126.384486,41.07
558.570007,126.98915,40.939999
563.390015,125.918597,40.650002
559.679993,126.493524,40.73
557.52002,125.492359,40.509998
556.179993,126.761159,40.91
546.599976,126.186239,40.959999
544.869995,126.48361,40.639999
543,125.809559,40.470001
547.469971,126.057372,40.529999
550.039978,127.464946,40.939999
552.599976,127.752417,42.060001
542.159973,126.305184,41.630001
543.47998,126.681865,42.009998
549.530029,127.524419,42.810001
551.690002,128.228213,42.880001
555.289978,128.981559,43.209999
553.950012,128.82297,43.150002
549.210022,129.397882,43.349998
545.320007,129.140162,42.939999
554.179993,130.627039,43.07
554.25,130.884759,43.380001
547.190002,128.485933,42.849998
554.52002,131.380384,43.490002
556.809998,130.240452,43.68
552.51001,128.922086,42.790001
549.280029,128.932008,40.98
546.669983,129.050954,44.360001
546.48999,127.643379,44.75
549.200012,127.821797,44.950001
539.48999,124.907525,44.400002
538.72998,124.76875,43.84
545.780029,125.21481,43.599998
548.950012,126.503439,44.09
542.039978,124.164086,43.869999
535.080017,123.400816,41.66
543.039978,124.180648,41.299999
552.840027,127.043312,42.040001
551.159973,127.290094,42.509998
